Date,Close,High,Low,Open,Volume,Ticker
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
2020-01-01,1866.1141357421875,1880.146842222534,1854.4056409366908,1866.4584166902255,1354908,TCS.NS
2020-01-02,1857.548095703125,1876.7464898400858,1850.273425845401,1876.7464898400858,2380752,TCS.NS
2020-01-03,1894.56689453125,1913.808371816653,1863.0145373869714,1863.0145373869714,4655761,TCS.NS
2020-01-06,1894.3948974609375,1916.3481665455297,1883.5904033845218,1898.312091432383,3023209,TCS.NS
2020-01-07,1899.043701171875,1906.6195621431602,1880.060540719551,1894.4377357594697,2429317,TCS.NS
2020-01-08,1941.5732421875,1945.6625772503048,1895.7727315208358,1898.3123817862486,5197454,TCS.NS
2020-01-09,1906.3614501953125,1938.7316302093247,1902.6163971952303,1935.976752575916,3734173,TCS.NS
2020-01-10,1905.6727294921875,1923.2783464459674,1900.8946235240358,1918.1128719255216,1915807,TCS.NS
2020-01-13,1885.7000732421875,1910.3220484811402,1880.835790746519,1909.3751706933433,2843893,TCS.NS
2020-01-14,1899.9476318359375,1919.662653362504,1889.702857592631,1889.702857592631,2948452,TCS.NS
2020-01-15,1917.166259765625,1920.6960856370229,1889.014458682549,1905.1996582316144,2620681,TCS.NS
2020-01-16,1927.4111328125,1936.1923991221495,1906.9213713008276,1917.209234630692,3117214,TCS.NS
2020-01-17,1910.4508056640625,1940.1091960363165,1905.199155910038,1929.089475194495,3281059,TCS.NS
2020-01-20,1868.4815673828125,1930.3380056865112,1856.2995291437408,1889.6168015512435,5817599,TCS.NS
2020-01-21,1869.0845947265625,1882.4287418289748,1857.8927294148618,1868.137506665142,1902980,TCS.NS
2020-01-22,1899.9476318359375,1902.616544546567,1871.3653800813006,1877.6500831022909,1773686,TCS.NS
2020-01-23,1890.4991455078125,1913.6240322182728,1884.2433573289904,1906.7642790371378,2069866,TCS.NS
2020-01-24,1883.9847412109375,1890.4994327121674,1872.422401429644,1890.4994327121674,1319430,TCS.NS
2020-01-27,1871.77490234375,1892.6562490034064,1868.1077162955946,1889.4204966079753,1549101,TCS.NS
2020-01-28,1884.286376953125,1887.7810314844728,1856.8903414782483,1875.8734211773753,1743024,TCS.NS
2020-01-29,1859.134033203125,1887.0476649278505,1855.1647592213335,1885.365115766797,2306761,TCS.NS
2020-01-30,1844.68115234375,1868.1079179511214,1833.5932220074517,1863.7935809581627,2098567,TCS.NS
2020-01-31,1793.944580078125,1850.2898656281682,1787.5162598295744,1846.0185033027672,3287223,TCS.NS
2020-02-03,1814.1788330078125,1893.7351706155982,1806.1541235048762,1856.8907722391498,4728073,TCS.NS
2020-02-04,1818.7088623046875,1843.6888327753682,1800.4593000561017,1837.0447955624147,3509339,TCS.NS
2020-02-05,1852.1878662109375,1860.9458851420977,1815.7317223674086,1824.96436045121,2439322,TCS.NS
2020-02-06,1836.4837646484375,1876.0461053017345,1825.395835202132,1850.85042141743,2640065,TCS.NS
2020-02-07,1843.55908203125,1856.0274717759364,1828.415719522645,1845.6730646809522,2083442,TCS.NS
2020-02-10,1865.4764404296875,1869.833963649307,1828.4163216303098,1847.313036537069,2383032,TCS.NS
2020-02-11,1858.0982666015625,1876.563752294377,1853.0938050406874,1866.3818765315477,1335820,TCS.NS
2020-02-12,1873.0693359375,1885.3651959108315,1855.1648380815961,1856.114076449192,1620407,TCS.NS
2020-02-13,1891.3621826171875,1895.719705182326,1873.2851524582748,1874.9677017803808,1645948,TCS.NS
2020-02-14,1884.6751708984375,1908.6629297792215,1873.2853619126086,1887.9541095646186,1500115,TCS.NS
2020-02-17,1901.1126708984375,1912.9770980968278,1889.8522087706754,1895.6765639407943,1774724,TCS.NS
2020-02-18,1911.8983154296875,1916.4283689808578,1886.2711974724034,1898.2649692768277,2486223,TCS.NS
2020-02-19,1895.1593017578125,1924.1947116854246,1890.1114421286647,1911.8988486174796,1760463,TCS.NS
2020-02-20,1861.0325927734375,1910.7336324177,1856.243636205008,1902.1913287688274,2317278,TCS.NS
2020-02-24,1825.2666015625,1880.1448406846946,1817.802672308403,1860.3420763914808,3092877,TCS.NS
2020-02-25,1860.4716796875,1878.160463473885,1821.5132962467687,1825.3962000047557,2674567,TCS.NS
2020-02-26,1832.38525390625,1867.1586408194346,1823.1955899052696,1858.6163380149562,2686842,TCS.NS
2020-02-27,1816.7674560546875,1829.235848850053,1800.1140717700978,1829.235848850053,2349001,TCS.NS
2020-02-28,1725.8642578125,1785.7040911665013,1717.106132602724,1784.4097900615243,4298076,TCS.NS
2020-03-02,1726.8564453125,1772.2863263843647,1713.3956305781107,1755.935032464859,2667076,TCS.NS
2020-03-03,1756.970703125,1777.5069910764335,1736.0893524494097,1742.9922922205803,2757585,TCS.NS
2020-03-04,1797.525390625,1807.2326492264394,1747.306548259086,1774.0554386274966,3237002,TCS.NS
2020-03-05,1833.6363525390625,1853.2233997676985,1798.2587902573837,1799.6824371579862,3937056,TCS.NS
2020-03-06,1826.2156982421875,1832.4283014976413,1787.5162210782007,1810.2958365685279,2595027,TCS.NS
2020-03-09,1701.87646484375,1794.6777888534073,1669.6483890970449,1790.4498229335236,4940975,TCS.NS
2020-03-11,1685.7841796875,1714.7766117295266,1656.7055872927408,1667.922864706702,6796449,TCS.NS
2020-03-12,1527.1458740234375,1646.6961965549096,1517.2228987467024,1642.8995588611901,8728786,TCS.NS
2020-03-13,1558.59765625,1570.4188992384375,1299.5216812520105,1456.4341199806945,8029720,TCS.NS
2020-03-16,1463.7685546875,1589.6177676632983,1446.0365841386952,1514.3325728044993,7844271,TCS.NS
2020-03-17,1430.63427734375,1493.6236031857848,1400.5633668263586,1492.7607357084967,5713248,TCS.NS
2020-03-18,1427.5279541015625,1478.566585684495,1404.5325151102961,1446.8562063693034,7258778,TCS.NS
2020-03-19,1422.269287109375,1464.9456022715356,1344.3915132205727,1355.6472458548637,5135111,TCS.NS
2020-03-20,1562.2930908203125,1624.482386749892,1414.1427732702377,1416.75028913982,8547498,TCS.NS
2020-03-23,1451.25634765625,1521.0508969686175,1406.1029077548465,1408.0585446223774,7003490,TCS.NS
2020-03-24,1480.330078125,1538.4341958851667,1419.227253780602,1436.7845890547073,6350865,TCS.NS
2020-03-25,1521.3116455078125,1573.2011664015754,1460.2088174335065,1477.5922557362862,2765520,TCS.NS
2020-03-26,1556.643310546875,1592.3663591097686,1497.1920398088018,1591.9751681101268,4556067,TCS.NS
2020-03-27,1585.8040771484375,1607.9679598380978,1521.3984627879117,1581.892803732615,4331250,TCS.NS
2020-03-30,1545.8223876953125,1655.772644677858,1532.8283088555957,1534.9577377958515,8513547,TCS.NS
2020-03-31,1587.19482421875,1612.3139139635912,1547.1260198680284,1597.0165093691835,3927593,TCS.NS
2020-04-01,1485.1973876953125,1594.7130399847692,1479.3304777512344,1587.020890389216,4941878,TCS.NS
2020-04-03,1437.783935546875,1512.358917722895,1434.133456461366,1512.358917722895,5735369,TCS.NS
2020-04-07,1542.9542236328125,1552.2109274427821,1481.9383864658732,1486.284246836741,5427577,TCS.NS
2020-04-08,1482.328857421875,1569.7241157176063,1478.4610857340247,1529.7422168676562,6285615,TCS.NS
2020-04-09,1535.087890625,1546.082935794269,1504.710270678281,1521.4418288619268,5307397,TCS.NS
2020-04-13,1529.0906982421875,1553.210218990359,1517.5741703173849,1530.6117491001803,2990438,TCS.NS
2020-04-15,1508.143798828125,1574.9396450023846,1501.755405925204,1551.4720012854616,4761399,TCS.NS
2020-04-16,1491.54248046875,1534.001506536226,1455.9064325918366,1486.2404470021165,6245533,TCS.NS
2020-04-17,1569.8983154296875,1609.6629316806784,1523.6584106663854,1564.509491842267,9895823,TCS.NS
2020-04-20,1580.7191162109375,1590.5841936784943,1566.68197218879,1590.5841936784943,3244282,TCS.NS
2020-04-21,1510.3165283203125,1559.8158241125827,1501.6682045125647,1534.0883578580394,5122541,TCS.NS
2020-04-22,1537.999755859375,1555.817780722397,1494.2369696719225,1510.316650645869,3829836,TCS.NS
2020-04-23,1632.522216796875,1651.4267067291694,1530.4814085400121,1547.1260726199587,5934366,TCS.NS
2020-04-24,1580.632568359375,1609.6628243364232,1571.2889706284175,1599.884640664491,2987102,TCS.NS
2020-04-27,1596.321044921875,1629.6972661526988,1586.2386723886268,1592.5836695182143,3374741,TCS.NS
2020-04-28,1615.8338623046875,1623.6129074028038,1592.8442047469975,1621.0053920268892,2678505,TCS.NS
2020-04-29,1656.337158203125,1662.3344644677077,1608.0112303683482,1628.827851235196,4241510,TCS.NS
2020-04-30,1750.903076171875,1766.157083580823,1688.1054141203424,1720.9601503395816,5915544,TCS.NS
2020-05-04,1677.8924560546875,1708.7915522497879,1663.2904352397509,1708.7915522497879,3729348,TCS.NS
2020-05-05,1679.8916015625,1718.3524492505821,1674.8938642922974,1699.317567818841,2905528,TCS.NS
2020-05-06,1654.5555419921875,1698.1010312349426,1645.8638233369438,1686.0196271842187,3517431,TCS.NS
2020-05-07,1644.1690673828125,1681.369561529843,1636.9548980783202,1660.118350736626,3166754,TCS.NS
2020-05-08,1645.68994140625,1685.7587409956707,1639.4753416875915,1685.4110510484586,2686530,TCS.NS
2020-05-11,1682.1085205078125,1696.102167709688,1659.2492557388434,1659.2492557388434,2449841,TCS.NS
2020-05-12,1694.450439453125,1700.534642108253,1660.335445994015,1680.4567945663457,3256595,TCS.NS
2020-05-13,1694.5806884765625,1733.128433569902,1673.720566909021,1733.128433569902,2656665,TCS.NS
2020-05-14,1653.4691162109375,1671.5044328465158,1643.6909324928529,1660.1183023592519,2263146,TCS.NS
