Date,Close,High,Low,Open,Volume,Ticker,SMA_10,SMA_50,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,Returns,Momentum_5,Momentum_10,Volatility_5,Trend,RSI_lag1,RSI_lag2,MACD_lag1,MACD_lag2,Returns_lag1,Returns_lag2
2020-03-12,1527.1458740234375,1646.6961965549096,1517.2228987467024,1642.89955886119,8728786.0,TCS.NS,1739.8642822265624,1847.9107763671875,21.863030360046764,-51.42768266486473,-28.094766132183416,1997.4530598136303,1616.0545329598071,-0.09410356769006445,-0.15041763416067877,-0.16658035161116258,0.047848926323857684,-108.0464941406251,27.92149449386332,30.342224886923503,-33.808561458457916,-26.980658801407344,-0.009455612959385684,-0.06808573243462945
2020-03-13,1558.59765625,1570.4188992384377,1299.5216812520105,1456.4341199806945,8029720.0,TCS.NS,1714.0473022460938,1841.7604467773438,26.781954687107287,-62.136792917738376,-34.90317148929441,2008.6627323820037,1573.3976924226838,0.02059513944381708,-0.14999631519532897,-0.14210393242365316,0.04798462068056943,-127.71314453125001,21.863030360046764,27.92149449386332,-51.42768266486473,-33.808561458457916,-0.09410356769006445,-0.009455612959385684
2020-03-16,1463.7685546875,1589.6177676632983,1446.0365841386952,1514.3325728044993,7844271.0,TCS.NS,1687.8377319335937,1833.8848559570313,24.555147789159946,-77.38372451779355,-43.39928209499424,2026.297108866536,1513.0039531451828,-0.0608425793419064,-0.19846896722197638,-0.15186345156553693,0.04670883858762341,-146.04712402343762,26.781954687107287,21.863030360046764,-62.136792917738376,-51.42768266486473,0.02059513944381708,-0.09410356769006445
2020-03-17,1430.63427734375,1493.6236031857848,1400.5633668263586,1492.760735708497,5713248.0,TCS.NS,1658.2155151367188,1824.6062036132812,19.656472499048647,-91.09065060773355,-52.9375557975421,2038.6816589253353,1455.2153137309147,-0.022636281697432592,-0.1593783057132192,-0.17153838628152107,0.044840335094818225,-166.39068847656245,24.555147789159946,26.781954687107287,-77.38372451779355,-62.136792917738376,-0.0608425793419064,0.02059513944381708
2020-03-18,1427.5279541015625,1478.566585684495,1404.532515110296,1446.8562063693034,7258778.0,TCS.NS,1625.271240234375,1815.2688647460936,20.37506911400976,-101.03942303817189,-62.55792924566806,2038.2673007326237,1408.2712002439387,-0.002171290938138948,-0.1531964937728929,-0.18750611403905648,0.04591373896597334,-189.99762451171864,19.656472499048647,24.555147789159946,-91.09065060773355,-77.38372451779355,-0.022636281697432592,-0.0608425793419064
2020-03-19,1422.269287109375,1464.9456022715356,1344.3915132205727,1355.6472458548635,5135111.0,TCS.NS,1587.7456298828124,1805.7333764648438,20.688716912522978,-108.1020936991381,-71.66676213636207,2027.8522272283371,1369.7233709161942,-0.003683757629458939,-0.06867489785880987,-0.20876261635734017,0.0304617027949644,-217.98774658203138,20.37506911400976,19.656472499048647,-101.03942303817189,-91.09065060773355,-0.002171290938138948,-0.022636281697432592
2020-03-20,1562.2930908203125,1624.482386749892,1414.1427732702375,1416.75028913982,8547498.0,TCS.NS,1560.6113037109376,1798.1477734375,38.67340054020435,-101.23360239732278,-77.58013018855421,2002.9576600995879,1361.3313169511935,0.09845097899535071,0.002370999696742704,-0.14798095671642697,0.058967101758032624,-237.53646972656247,20.688716912522978,20.37506911400976,-108.1020936991381,-101.03942303817189,-0.003683757629458939,-0.002171290938138948
2020-03-23,1451.25634765625,1521.0508969686175,1406.1029077548465,1408.0585446223774,7003490.0,TCS.NS,1523.1153686523437,1789.0456713867188,33.4397051691343,-103.5562784400729,-82.77535983885795,1986.6780184045829,1336.6333341344798,-0.07107292723528624,-0.008547940855254454,-0.20532040708381394,0.061794810050734686,-265.9303027343751,38.67340054020435,20.688716912522978,-101.23360239732278,-108.1020936991381,0.09845097899535071,-0.003683757629458939
2020-03-24,1480.330078125,1538.434195885167,1419.227253780602,1436.784589054707,6350865.0,TCS.NS,1500.9607299804688,1780.538818359375,33.3563695170333,-101.87663839697029,-86.59561555048043,1969.4834524244798,1319.334247770833,0.020033490648088126,0.03473690066585,-0.13017771342122075,0.06086500048679238,-279.57808837890616,33.4397051691343,38.67340054020435,-103.5562784400729,-101.23360239732278,-0.07107292723528624,0.09845097899535071
2020-03-25,1521.3116455078125,1573.2011664015754,1460.2088174335065,1477.5922557362862,2765520.0,TCS.NS,1484.5134765625,1773.2510498046875,33.39058348321187,-96.13050890363752,-88.50259422111185,1940.2202809133023,1314.6814158640414,0.027684073969989287,0.06569657087049774,-0.0975644072126578,0.061043722663232096,-288.7375732421874,33.3563695170333,33.4397051691343,-101.87663839697029,-103.5562784400729,0.020033490648088126,-0.07107292723528624
2020-03-26,1556.643310546875,1592.3663591097686,1497.1920398088018,1591.9751681101268,4556067.0,TCS.NS,1487.4632202148437,1766.3849633789061,33.32809717448738,-87.71457081994845,-88.34498954087917,1912.3913426771287,1314.9361597642774,0.023224475500066788,0.09447860869624924,0.019315402035382068,0.06024473653134247,-278.9217431640625,33.39058348321187,33.3563695170333,-96.13050890363752,-101.87663839697029,0.027684073969989287,0.020033490648088126
2020-03-27,1585.8040771484375,1607.9679598380978,1521.3984627879115,1581.892803732615,4331250.0,TCS.NS,1490.1838623046874,1759.7577197265625,35.89892111766608,-77.79507588793126,-86.23500681028959,1885.2332511042919,1318.9979134464893,0.018733107580899633,0.015049024069984318,0.017455704998233124,0.041952969935302196,-269.5738574218751,33.32809717448738,33.39058348321187,-87.71457081994845,-96.13050890363752,0.023224475500066788,0.027684073969989287
